net.sf.saxon:BasicTransformerFactory:public:net.sf.saxon.TransformerFactoryImpl::<init>:public:0::void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setModuleURIResolver:public:1:net.sf.saxon.lib.ModuleURIResolver:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setModuleURIResolver:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getModuleURIResolver:public:0::net.sf.saxon.lib.ModuleURIResolver::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getStandardModuleURIResolver:public:0::net.sf.saxon.lib.ModuleURIResolver::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getUnparsedTextURIResolver:public:0::net.sf.saxon.lib.UnparsedTextURIResolver::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setUnparsedTextURIResolver:public:1:net.sf.saxon.lib.UnparsedTextURIResolver:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getDefaultXsltCompilerInfo:public:0::net.sf.saxon.trans.CompilerInfo::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getDefaultStaticQueryContext:public:0::net.sf.saxon.query.StaticQueryContext::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:makeAppropriateStaticQueryContext:protected:0::net.sf.saxon.query.StaticQueryContext::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:registerFunctionAnnotationHandler:public:1:net.sf.saxon.lib.FunctionAnnotationHandler:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getFunctionAnnotationHandler:public:1:java.lang.String:net.sf.saxon.lib.FunctionAnnotationHandler::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getRecoveryPolicy:public:0::int::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setRecoveryPolicy:public:1:int:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getStreamability:public:0::int::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getMessageEmitterClass:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setMessageEmitterClass:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getSourceParserClass:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setSourceParserClass:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getStyleParserClass:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setStyleParserClass:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getOutputURIResolver:public:0::net.sf.saxon.lib.OutputURIResolver::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setOutputURIResolver:public:1:net.sf.saxon.lib.OutputURIResolver:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setSerializerFactory:public:1:net.sf.saxon.lib.SerializerFactory:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getSerializerFactory:public:0::net.sf.saxon.lib.SerializerFactory::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getCharacterSetFactory:public:0::net.sf.saxon.serialize.charcode.CharacterSetFactory::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setDefaultSerializationProperties:public:1:java.util.Properties:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getDefaultSerializationProperties:public:0::java.util.Properties::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:processResultDocument:public:3:net.sf.saxon.expr.instruct.ResultDocument,net.sf.saxon.expr.Expression,net.sf.saxon.expr.XPathContext:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getMultithreadedItemMappingIterator:public:2:net.sf.saxon.om.SequenceIterator,net.sf.saxon.expr.ItemMappingFunction:net.sf.saxon.om.SequenceIterator::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:isTiming:public:0::boolean::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setTiming:public:1:boolean:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:isVersionWarning:public:0::boolean::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setVersionWarning:public:1:boolean:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:isValidation:public:0::boolean::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setValidation:public:1:boolean:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:makeDocumentProjector:public:1:net.sf.saxon.expr.parser.PathMap$PathMapRoot:net.sf.saxon.event.FilterFactory::3PP
